"","placement","frequency_mhz","Input Power (W)","SAR_wholebody (mW/kg)","SAR_head (mW/kg)","SAR_brain (mW/kg)","SAR_trunk (mW/kg)","psSAR10g_eyes (mW/kg)","psSAR10g_skin (mW/kg)","psSAR10g_brain (mW/kg)","yaml_name_whole_body","yaml_name_whole_brain"
"63","front_of_eyes_right_horizontal",900,1,2.17309291503511,1.25304842982152,0.521886721662827,0.225750760457069,5.93474870529835,18.7133024338495,5.54756129818594,"Duke_fronteyes_900_front_of_eyes_right_horizontal: 2.17309291503511","Duke_fronteyes_900_front_of_eyes_right_horizontal: 0.521886721662827"
"64","front_of_eyes_right_horizontal",1450,1,0.900068574747703,4.90806200250296,2.0155983942639,0.917487259120328,20.0167513575475,136.267253250446,25.5513334435956,"Duke_fronteyes_1450_front_of_eyes_right_horizontal: 0.900068574747703","Duke_fronteyes_1450_front_of_eyes_right_horizontal: 2.0155983942639"
"65","front_of_eyes_right_horizontal",1800,1,0.851291441996209,4.89905580006418,1.58773624036043,0.926057813007408,29.3464343022741,120.715296590552,23.7947578016495,"Duke_fronteyes_1800_front_of_eyes_right_horizontal: 0.851291441996209","Duke_fronteyes_1800_front_of_eyes_right_horizontal: 1.58773624036043"
"66","front_of_eyes_right_horizontal",2100,1,0.809482471066356,4.89133619797379,1.22099725130032,0.933404002053477,37.343305397754,107.385048024929,22.2891215371242,"Duke_fronteyes_2100_front_of_eyes_right_horizontal: 0.809482471066356","Duke_fronteyes_2100_front_of_eyes_right_horizontal: 1.22099725130032"
"67","front_of_eyes_right_horizontal",2400,1,0.885042122315055,5.4557515510373,1.00043537353271,0.968358243622725,35.7603756734205,142.736660170308,31.2560562284661,"Duke_fronteyes_2400_front_of_eyes_right_horizontal: 0.885042122315055","Duke_fronteyes_2400_front_of_eyes_right_horizontal: 1.00043537353271"
"68","front_of_eyes_right_horizontal",2600,1,0.853962611254792,5.54295119078521,0.928139225398049,0.885850729673802,40.7062061967851,142.805585222533,36.3856109454783,"Duke_fronteyes_2600_front_of_eyes_right_horizontal: 0.853962611254792","Duke_fronteyes_2600_front_of_eyes_right_horizontal: 0.928139225398049"
"69","front_of_eyes_right_horizontal",3500,1,0.573869182540118,5.41371291387776,0.692435428004989,0.351604011715143,73.4379345720465,100.378006358038,56.5848397937688,"Duke_fronteyes_3500_front_of_eyes_right_horizontal: 0.573869182540118","Duke_fronteyes_3500_front_of_eyes_right_horizontal: 0.692435428004989"
"70","front_of_eyes_right_horizontal",5000,1,0.685855513412106,3.33282356231044,0.158014049282591,1.03080911578369,54.6375593171839,88.0308726757551,36.20885558426,"Duke_fronteyes_5000_front_of_eyes_right_horizontal: 0.685855513412106","Duke_fronteyes_5000_front_of_eyes_right_horizontal: 0.158014049282591"
"71","front_of_eyes_right_vertical",700,1,2.6802107746467,1.62654542878739,0.331846679020899,0.265825364868717,7.1275000920875,17.7617578223096,4.90070616282272,"Duke_fronteyes_700_front_of_eyes_right_vertical: 2.6802107746467","Duke_fronteyes_700_front_of_eyes_right_vertical: 0.331846679020899"
"72","front_of_eyes_right_vertical",800,1,2.43586952962872,1.02118651066751,0.22948833648722,0.23171726133507,4.74145057317116,10.8654117426225,3.33655835913442,"Duke_fronteyes_800_front_of_eyes_right_vertical: 2.43586952962872","Duke_fronteyes_800_front_of_eyes_right_vertical: 0.22948833648722"
"73","front_of_eyes_right_vertical",900,1,2.241786752673,1.28048694865357,0.455519006462736,0.413245203581042,6.33919781080163,22.0507061549341,6.34136283191927,"Duke_fronteyes_900_front_of_eyes_right_vertical: 2.241786752673","Duke_fronteyes_900_front_of_eyes_right_vertical: 0.455519006462736"
"74","front_of_eyes_right_vertical",1450,1,1.32317386560091,5.26736129681373,2.67122438222069,2.0502633292043,26.9249749352347,137.119299187413,36.3989153279448,"Duke_fronteyes_1450_front_of_eyes_right_vertical: 1.32317386560091","Duke_fronteyes_1450_front_of_eyes_right_vertical: 2.67122438222069"
"75","front_of_eyes_right_vertical",1800,1,1.43096204508961,6.38931568165946,2.00719199186103,2.10416032228011,33.4657591523265,141.112546648784,37.1318037652949,"Duke_fronteyes_1800_front_of_eyes_right_vertical: 1.43096204508961","Duke_fronteyes_1800_front_of_eyes_right_vertical: 2.00719199186103"
"76","front_of_eyes_right_vertical",2100,1,1.52335191322279,7.35099086867008,1.43802137155276,2.15035774491652,39.0721456241194,144.535330187103,37.7599938544521,"Duke_fronteyes_2100_front_of_eyes_right_vertical: 1.52335191322279","Duke_fronteyes_2100_front_of_eyes_right_vertical: 1.43802137155276"
"77","front_of_eyes_right_vertical",2400,1,1.41132664899665,6.72823816080683,1.34355501320396,1.93663247764641,57.5126503713453,119.182886889945,61.9434423344235,"Duke_fronteyes_2400_front_of_eyes_right_vertical: 1.41132664899665","Duke_fronteyes_2400_front_of_eyes_right_vertical: 1.34355501320396"
"78","front_of_eyes_right_vertical",2600,1,1.34030578027074,6.42500053059456,1.2119894267525,1.82902396610155,58.696394385466,118.101762542969,64.2595824936883,"Duke_fronteyes_2600_front_of_eyes_right_vertical: 1.34030578027074","Duke_fronteyes_2600_front_of_eyes_right_vertical: 1.2119894267525"
"79","front_of_eyes_right_vertical",3500,1,1.0576543140428,5.47208559485704,0.444030841475701,1.43708627024196,45.3838739882816,141.394417732954,50.3490890630267,"Duke_fronteyes_3500_front_of_eyes_right_vertical: 1.0576543140428","Duke_fronteyes_3500_front_of_eyes_right_vertical: 0.444030841475701"
"80","front_of_eyes_right_vertical",5000,1,0.663548439177432,1.47316541350545,0.123967469944983,0.998459610609561,33.3180984375233,71.7549885082556,24.9656476329434,"Duke_fronteyes_5000_front_of_eyes_right_vertical: 0.663548439177432","Duke_fronteyes_5000_front_of_eyes_right_vertical: 0.123967469944983"
