"","placement","frequency_mhz","Input Power (W)","SAR_wholebody (mW/kg)","SAR_head (mW/kg)","SAR_brain (mW/kg)","SAR_trunk (mW/kg)","psSAR10g_eyes (mW/kg)","psSAR10g_skin (mW/kg)","psSAR10g_brain (mW/kg)","yaml_name_whole_body","yaml_name_whole_brain"
"1","belly_level_center_horizontal",700,1,2.7525043440343,0.0369442512854225,0.0132939471995957,0.371510593458836,0.17789871916842,6.98378397115203,0.0993118022695734,"Duke_belly_700_belly_level_center_horizontal: 2.7525043440343","Duke_belly_700_belly_level_center_horizontal: 0.0132939471995957"
"2","belly_level_center_horizontal",800,1,2.55311033605155,0.0425776199016713,0.0140895714051897,0.418583085807421,0.229825160294358,7.39947474883909,0.12821924317581,"Duke_belly_800_belly_level_center_horizontal: 2.55311033605155","Duke_belly_800_belly_level_center_horizontal: 0.0140895714051897"
"3","belly_level_center_horizontal",900,1,2.39312157034007,0.0584242996282253,0.0190081304277761,0.623402525752119,0.321232867921172,13.3663896779878,0.176260314132199,"Duke_belly_900_belly_level_center_horizontal: 2.39312157034007","Duke_belly_900_belly_level_center_horizontal: 0.0190081304277761"
"4","belly_level_center_horizontal",1450,1,1.62988349949944,0.175828151797099,0.0582704350869401,2.21708309794413,0.940900549121236,62.6245856214807,0.497151185694713,"Duke_belly_1450_belly_level_center_horizontal: 1.62988349949944","Duke_belly_1450_belly_level_center_horizontal: 0.0582704350869401"
"5","belly_level_center_horizontal",1800,1,1.5456898125058,0.184964666374303,0.0446324881508989,2.08355767522702,0.753291075807922,59.9453930321131,0.474211704709359,"Duke_belly_1800_belly_level_center_horizontal: 1.5456898125058","Duke_belly_1800_belly_level_center_horizontal: 0.0446324881508989"
"6","belly_level_center_horizontal",2100,1,1.47352379508269,0.192795964583336,0.0329428193485779,1.96910731289807,0.592482955825081,57.6489422412267,0.454549292436199,"Duke_belly_2100_belly_level_center_horizontal: 1.47352379508269","Duke_belly_2100_belly_level_center_horizontal: 0.0329428193485779"
"7","belly_level_center_horizontal",2400,1,1.69133247000295,0.207692587636164,0.0269299802362149,2.21886862766535,0.904308799621012,64.0343136805123,0.529977031441293,"Duke_belly_2400_belly_level_center_horizontal: 1.69133247000295","Duke_belly_2400_belly_level_center_horizontal: 0.0269299802362149"
"8","belly_level_center_horizontal",2600,1,1.69076779804005,0.23104510180617,0.0228752757499224,2.22259298875445,0.927006040614215,65.9965567432001,0.52585512145799,"Duke_belly_2600_belly_level_center_horizontal: 1.69076779804005","Duke_belly_2600_belly_level_center_horizontal: 0.0228752757499224"
"9","belly_level_center_horizontal",3500,1,1.4249596002126,0.355176590720481,0.0036865295306909,1.93914527481461,0.678650725273077,70.0489787215536,0.411066668510268,"Duke_belly_3500_belly_level_center_horizontal: 1.4249596002126","Duke_belly_3500_belly_level_center_horizontal: 0.0036865295306909"
"10","belly_level_center_horizontal",5000,1,1.10186536709058,0.0713144565998899,0.000433754436409744,1.26073299256108,0.0975183032774416,75.2387510751868,0.0528182651601378,"Duke_belly_5000_belly_level_center_horizontal: 1.10186536709058","Duke_belly_5000_belly_level_center_horizontal: 0.000433754436409744"
"11","belly_level_center_vertical",700,1,2.67862944544516,0.0110475069535809,0.00288217648588656,0.246391760082015,0.047948095384067,7.33372276345416,0.0346923643315022,"Duke_belly_700_belly_level_center_vertical: 2.67862944544516","Duke_belly_700_belly_level_center_vertical: 0.00288217648588656"
"12","belly_level_center_vertical",800,1,2.48951882575097,0.163499423132759,0.00244862009423405,0.0693743572573513,0.0399187866765164,9.704119196023,0.0289243089315604,"Duke_belly_800_belly_level_center_vertical: 2.48951882575097","Duke_belly_800_belly_level_center_vertical: 0.00244862009423405"
"13","belly_level_center_vertical",900,1,2.39103026442757,0.227657701442413,0.0143790423021494,0.302087835685753,0.215453107986937,16.5263373561305,0.120521618674016,"Duke_belly_900_belly_level_center_vertical: 2.39103026442757","Duke_belly_900_belly_level_center_vertical: 0.0143790423021494"
"14","belly_level_center_vertical",1450,1,2.11772388847773,0.319043227685766,0.116612762605942,2.79544573075297,1.72452262563209,67.2327785067401,0.912658095948468,"Duke_belly_1450_belly_level_center_vertical: 2.11772388847773","Duke_belly_1450_belly_level_center_vertical: 0.116612762605942"
"15","belly_level_center_vertical",1800,1,2.07851048259807,0.448850676727302,0.110635184761442,2.45653799367985,1.95080798059592,68.1657100963041,1.25340338266123,"Duke_belly_1800_belly_level_center_vertical: 2.07851048259807","Duke_belly_1800_belly_level_center_vertical: 0.110635184761442"
"16","belly_level_center_vertical",2100,1,2.04489899184408,0.56011420447719,0.105511546609013,2.16604564761719,2.1447668562792,68.9653657445017,1.54547077127217,"Duke_belly_2100_belly_level_center_vertical: 2.04489899184408","Duke_belly_2100_belly_level_center_vertical: 0.105511546609013"
"17","belly_level_center_vertical",2400,1,2.27815850789847,0.505762844893362,0.0777918683271866,2.53854600810529,2.19392569404506,79.3837625860626,1.33890013480485,"Duke_belly_2400_belly_level_center_vertical: 2.27815850789847","Duke_belly_2400_belly_level_center_vertical: 0.0777918683271866"
"18","belly_level_center_vertical",2600,1,2.21893977566258,0.466168824092508,0.0633030951942683,2.42886934298872,2.10075823515954,82.3143705210484,1.22332940440038,"Duke_belly_2600_belly_level_center_vertical: 2.21893977566258","Duke_belly_2600_belly_level_center_vertical: 0.0633030951942683"
"19","belly_level_center_vertical",3500,1,1.58931078822227,0.308435272307168,0.00756644854464676,1.29631011387029,1.51487157299099,87.9998149519617,0.813189200760627,"Duke_belly_3500_belly_level_center_vertical: 1.58931078822227","Duke_belly_3500_belly_level_center_vertical: 0.00756644854464676"
"20","belly_level_center_vertical",5000,1,1.17144570579552,0.0980071757180223,0.000890183575866167,1.25582043818149,0.193275142146363,77.1889764612221,0.0978206960351392,"Duke_belly_5000_belly_level_center_vertical: 1.17144570579552","Duke_belly_5000_belly_level_center_vertical: 0.000890183575866167"
"21","belly_level_left_horizontal",700,1,2.75886346728871,0.0489594160211149,0.0170115146646767,0.416652745862399,0.201685461004754,5.84172890416943,0.119005191704622,"Duke_belly_700_belly_level_left_horizontal: 2.75886346728871","Duke_belly_700_belly_level_left_horizontal: 0.0170115146646767"
"22","belly_level_left_horizontal",800,1,2.57119781063005,0.0559170258868716,0.0177357421964489,0.469445004110071,0.255768995817913,7.88301444718295,0.15104676410705,"Duke_belly_800_belly_level_left_horizontal: 2.57119781063005","Duke_belly_800_belly_level_left_horizontal: 0.0177357421964489"
"23","belly_level_left_horizontal",900,1,2.40888559375148,0.0661465234660172,0.0207151414152471,0.666061471212988,0.30516174534167,13.7016958068004,0.180987625757483,"Duke_belly_900_belly_level_left_horizontal: 2.40888559375148","Duke_belly_900_belly_level_left_horizontal: 0.0207151414152471"
"24","belly_level_left_horizontal",1450,1,1.59125358796042,0.132098581456353,0.0437806148071376,2.17339296650418,0.56292992667295,56.8913462800237,0.339441029146261,"Duke_belly_1450_belly_level_left_horizontal: 1.59125358796042","Duke_belly_1450_belly_level_left_horizontal: 0.0437806148071376"
"25","belly_level_left_horizontal",1800,1,1.69976718047909,0.179657108606519,0.0414719498374349,2.20950030249218,0.691142398572019,58.9496778529561,0.431055720059303,"Duke_belly_1800_belly_level_left_horizontal: 1.69976718047909","Duke_belly_1800_belly_level_left_horizontal: 0.0414719498374349"
"26","belly_level_left_horizontal",2100,1,1.79277883120937,0.220421560449518,0.0394930941491183,2.24044944762476,0.801038803056935,60.7139620583268,0.509582597984767,"Duke_belly_2100_belly_level_left_horizontal: 1.79277883120937","Duke_belly_2100_belly_level_left_horizontal: 0.0394930941491183"
"27","belly_level_left_horizontal",2400,1,1.83276065347528,0.154880925058904,0.0259027929169869,2.26833333041908,0.725389071459302,79.4955554027045,0.47881334544922,"Duke_belly_2400_belly_level_left_horizontal: 1.83276065347528","Duke_belly_2400_belly_level_left_horizontal: 0.0259027929169869"
"28","belly_level_left_horizontal",2600,1,1.78279089229648,0.173233831321595,0.0206426007442921,2.19570216105773,0.743403258439982,84.9754883322267,0.488474573046799,"Duke_belly_2600_belly_level_left_horizontal: 1.78279089229648","Duke_belly_2600_belly_level_left_horizontal: 0.0206426007442921"
"29","belly_level_left_horizontal",3500,1,1.45114893810616,0.365246533093529,0.00445812517776529,1.73250284091659,0.955683671319011,96.4554450051351,0.594025980469517,"Duke_belly_3500_belly_level_left_horizontal: 1.45114893810616","Duke_belly_3500_belly_level_left_horizontal: 0.00445812517776529"
"30","belly_level_left_horizontal",5000,1,1.12594918080443,0.0669491256968274,0.000524528571678612,1.09996649899717,0.130868545537858,85.2521692076872,0.0728417473569954,"Duke_belly_5000_belly_level_left_horizontal: 1.12594918080443","Duke_belly_5000_belly_level_left_horizontal: 0.000524528571678612"
"31","belly_level_left_vertical",700,1,2.67579645526437,0.0134944133520614,0.00365998027287915,0.238269506573457,0.0476310791312376,7.48349546998992,0.0330813442478042,"Duke_belly_700_belly_level_left_vertical: 2.67579645526437","Duke_belly_700_belly_level_left_vertical: 0.00365998027287915"
