"","placement","frequency_mhz","Input power (W)","SAR_wholebody (mW/kg)","SAR_head (mW/kg)","SAR_brain (mW/kg)","SAR_trunk (mW/kg)","psSAR10g_eyes (mW/kg)","psSAR10g_skin (mW/kg)","psSAR10g_brain (mW/kg)","yaml_name_whole_body","yaml_name_whole_brain"
"1","cheek_1",700,1,6.54004025505779,88.831913498767,7.2673878492964,0.370973488259029,112.919220596217,522.6151996784,261.07035326154,"Duke_body_700_cheek_1_sar: 6.54004025505779","Duke_brain_700_cheek_1_sar: 7.2673878492964"
"2","cheek_1",800,1,6.44645172731326,87.0237203043051,12.6894602339979,0.417959602872404,141.740693611602,3136.15640964444,308.286423317491,"Duke_body_800_cheek_1_sar: 6.44645172731326","Duke_brain_800_cheek_1_sar: 12.6894602339979"
"3","cheek_1",900,1,6.88450977431196,89.9718821734203,18.4543418411156,0.464579959434099,190.637423535009,4276.96976116541,670.380205269618,"Duke_body_900_cheek_1_sar: 6.88450977431196","Duke_brain_900_cheek_1_sar: 18.4543418411156"
"4","cheek_1",1450,1,10.8683208118521,120.27290091107,51.176433377418,0.719908713985753,519.023083572118,6189.90299836645,3594.41846046808,"Duke_body_1450_cheek_1_sar: 10.8683208118521","Duke_brain_1450_cheek_1_sar: 51.176433377418"
"5","cheek_1",1800,1,11.0438632035147,138.544151598374,65.3068332053292,0.42113769491977,456.477684218528,8415.09791608688,4905.52235883183,"Duke_body_1800_cheek_1_sar: 11.0438632035147","Duke_brain_1800_cheek_1_sar: 65.3068332053292"
"6","cheek_1",2100,1,11.194328110654,154.205223616063,77.4186044863959,0.16504825000607,402.867341915451,10322.4078455615,6029.32570028648,"Duke_body_2100_cheek_1_sar: 11.194328110654","Duke_brain_2100_cheek_1_sar: 77.4186044863959"
"7","cheek_1",2400,1,10.5509207404183,143.19568133975,59.809139545341,0.133362553812067,304.849768340237,10982.2896394953,5905.53965214749,"Duke_body_2400_cheek_1_sar: 10.5509207404183","Duke_brain_2400_cheek_1_sar: 59.809139545341"
"8","cheek_1",2600,1,10.3645381843772,140.07044929655,51.5898274703438,0.138975565517565,286.129977079432,11627.0206885909,5796.14788408905,"Duke_body_2600_cheek_1_sar: 10.3645381843772","Duke_brain_2600_cheek_1_sar: 51.5898274703438"
"9","cheek_1",3500,1,10.0117844148851,136.431770743507,24.4559178417414,0.169815678295372,278.66068482399,15027.437210083,5455.52015304565,"Duke_body_3500_cheek_1_sar: 10.0117844148851","Duke_brain_3500_cheek_1_sar: 24.4559178417414"
"10","cheek_1",5000,1,7.05214505318114,94.4141545016348,5.72257529377378,0.348863463701204,617.098390890676,8944.56406280018,2743.36891354255,"Duke_body_5000_cheek_1_sar: 7.05214505318114","Duke_brain_5000_cheek_1_sar: 5.72257529377378"
"11","cheek_2",700,1,6.53048079211866,85.3281781366752,7.55130107980572,0.313556521344695,158.632195062852,593.64183565204,261.247855670443,"Duke_body_700_cheek_2_sar: 6.53048079211866","Duke_brain_700_cheek_2_sar: 7.55130107980572"
"12","cheek_2",800,1,6.41113646447829,84.4396278896519,14.966011749997,0.336736791034366,186.7212920141,757.602949900196,305.781381092412,"Duke_body_800_cheek_2_sar: 6.41113646447829","Duke_brain_800_cheek_2_sar: 14.966011749997"
"13","cheek_2",900,1,6.83492978643166,87.1586726016749,21.8963825317052,0.352583519403361,230.232046208847,1370.82247710195,677.617176509953,"Duke_body_900_cheek_2_sar: 6.83492978643166","Duke_brain_900_cheek_2_sar: 21.8963825317052"
"14","cheek_2",1450,1,10.7743160963567,112.797449742669,58.5790306229004,0.41802196075238,515.213025347242,6074.02594584339,3692.03231244717,"Duke_body_1450_cheek_2_sar: 10.7743160963567","Duke_brain_1450_cheek_2_sar: 58.5790306229004"
"15","cheek_2",1800,1,10.9975420393575,131.373921604128,69.2568477293184,0.264380177307972,454.600264223662,8357.99907861176,4953.62193806791,"Duke_body_1800_cheek_2_sar: 10.9975420393575","Duke_brain_1800_cheek_2_sar: 69.2568477293184"
"16","cheek_2",2100,1,11.1888785619297,147.296611771093,78.4092623919623,0.132687220069908,402.646468974879,10315.6903352704,6034.98447431426,"Duke_body_2100_cheek_2_sar: 11.1888785619297","Duke_brain_2100_cheek_2_sar: 78.4092623919623"
"17","cheek_2",2400,1,10.5079559975976,141.315328008049,77.7074743715707,0.11534818942228,333.098500143903,11383.2653628118,6040.24139447937,"Duke_body_2400_cheek_2_sar: 10.5079559975976","Duke_brain_2400_cheek_2_sar: 77.7074743715707"
"18","cheek_2",2600,1,10.3891117680555,139.27130373905,70.71435962267,0.123158419548561,295.676347371694,12583.1968738305,6111.18617020979,"Duke_body_2600_cheek_2_sar: 10.3891117680555","Duke_brain_2600_cheek_2_sar: 70.71435962267"
"19","cheek_2",3500,1,10.4911626608124,136.358284031183,30.9734903316628,0.169765919170732,143.398195505142,18852.1518707275,6697.15261459351,"Duke_body_3500_cheek_2_sar: 10.4911626608124","Duke_brain_3500_cheek_2_sar: 30.9734903316628"
"20","cheek_2",5000,1,6.95140829567839,92.1776319662559,6.47234207834639,0.350996542045881,967.682151994218,8040.44957192703,2664.78921385372,"Duke_body_5000_cheek_2_sar: 6.95140829567839","Duke_brain_5000_cheek_2_sar: 6.47234207834639"
"21","cheek_3",700,1,6.95271569857319,97.8798857777353,7.20523206834565,0.533928831543217,65.1704726482598,672.082329510749,266.344443465887,"Duke_body_700_cheek_3_sar: 6.95271569857319","Duke_brain_700_cheek_3_sar: 7.20523206834565"
"22","cheek_3",800,1,6.56045392659454,92.0544783163918,14.5653372745,0.486038149430252,81.6455031068832,843.88654964717,312.09969091107,"Duke_body_800_cheek_3_sar: 6.56045392659454","Duke_brain_800_cheek_3_sar: 14.5653372745"
"23","cheek_3",900,1,6.89773881779434,92.4650658982132,20.7385754840523,0.495766003721897,119.195198231164,1506.79468341674,688.199573330073,"Duke_body_900_cheek_3_sar: 6.89773881779434","Duke_brain_900_cheek_3_sar: 20.7385754840523"
"24","cheek_3",1450,1,10.9133862218832,113.191436764527,51.1764333774219,0.719908713985753,388.131951386074,6607.21254798601,3735.07726867244,"Duke_body_1450_cheek_3_sar: 10.9133862218832","Duke_brain_1450_cheek_3_sar: 51.1764333774219"
"25","cheek_3",1800,1,11.0489202664738,137.685908032378,62.6902010210416,0.441456082185833,366.253676764895,8520.96928295784,4833.99927390444,"Duke_body_1800_cheek_3_sar: 11.0489202664738","Duke_brain_1800_cheek_3_sar: 62.6902010210416"
"26","cheek_3",2100,1,11.1650923046944,158.681169119107,72.5591447155728,0.202782397785901,347.500869946741,10161.332198648,5775.93242124615,"Duke_body_2100_cheek_3_sar: 11.1650923046944","Duke_brain_2100_cheek_3_sar: 72.5591447155728"
"27","cheek_3",2400,1,10.5454678067922,142.282190310666,58.0981360570298,0.158819434109802,310.97064600575,10474.1885206486,5490.58980720638,"Duke_body_2400_cheek_3_sar: 10.5454678067922","Duke_brain_2400_cheek_3_sar: 58.0981360570298"
"28","cheek_3",2600,1,10.31123735384,138.317098383366,49.7068108775186,0.171461183008967,289.483000182737,10761.7114335874,5185.77434657623,"Duke_body_2600_cheek_3_sar: 10.31123735384","Duke_brain_2600_cheek_3_sar: 49.7068108775186"
"29","cheek_3",3500,1,9.6386786011247,136.678485611878,17.5629380517754,0.261319144584077,199.822336435318,12378.2243728638,3831.03585243225,"Duke_body_3500_cheek_3_sar: 9.6386786011247","Duke_brain_3500_cheek_3_sar: 17.5629380517754"
"30","cheek_3",5000,1,7.25958614336458,101.573704807912,4.65036780772797,0.381605248974375,201.699616062919,10137.1364021936,2503.56848946422,"Duke_body_5000_cheek_3_sar: 7.25958614336458","Duke_brain_5000_cheek_3_sar: 4.65036780772797"
"31","tilt_1",700,1,6.42061264139115,85.866729645234,7.42406214866266,0.543239208412808,120.418320657609,663.877426461781,232.16251911742,"Duke_body_700_tilt_1_sar: 6.42061264139115","Duke_brain_700_tilt_1_sar: 7.42406214866266"
"32","tilt_1",800,1,6.10230641386499,81.4364414342269,12.7300794967966,0.506372198614106,111.254715614924,766.810384701725,235.890973319339,"Duke_body_800_tilt_1_sar: 6.10230641386499","Duke_brain_800_tilt_1_sar: 12.7300794967966"
"33","tilt_1",900,1,6.49793872841868,87.8443723446603,21.7737299465486,0.489648815216271,117.845949609406,1383.52268361644,598.853120993149,"Duke_body_900_tilt_1_sar: 6.49793872841868","Duke_brain_900_tilt_1_sar: 21.7737299465486"
"34","tilt_1",1450,1,10.7882729100081,155.185795134772,82.582951605746,0.457326330869207,200.756298342966,6297.01760579955,3659.02933309663,"Duke_body_1450_tilt_1_sar: 10.7882729100081","Duke_brain_1450_tilt_1_sar: 82.582951605746"
"35","tilt_1",1800,1,10.5809874602032,149.172886815232,72.8471245336247,0.343438109983679,184.636864482385,8032.07261206466,4686.83965596581,"Duke_body_1800_tilt_1_sar: 10.5809874602032","Duke_brain_1800_tilt_1_sar: 72.8471245336247"
"36","tilt_1",2100,1,10.4033142175132,144.018965398483,64.5021299003779,0.24581963493894,170.820206887602,9519.26261743475,5567.81993271083,"Duke_body_2100_tilt_1_sar: 10.4033142175132","Duke_brain_2100_tilt_1_sar: 64.5021299003779"
"37","tilt_1",2400,1,10.0768195151905,138.852434578191,54.5096996295187,0.172830660067629,163.960719755804,12037.338690427,6581.91224120474,"Duke_body_2400_tilt_1_sar: 10.0768195151905","Duke_brain_2400_tilt_1_sar: 54.5096996295187"
"38","tilt_1",2600,1,9.93189282566372,136.550803754834,48.3711636956711,0.173224234477269,178.170720045773,12815.2402831588,6541.1296802625,"Duke_body_2600_tilt_1_sar: 9.93189282566372","Duke_brain_2600_tilt_1_sar: 48.3711636956711"
"39","tilt_1",3500,1,9.411723,127.909489543215,21.78583,0.244785501933583,269.219875,14805.97591,5261.863232,"Duke_body_3500_tilt_1_sar: 9.411723","Duke_brain_3500_tilt_1_sar: 21.78583"
"40","tilt_1",5000,1,6.25038393920258,83.6559882335496,5.54090623933774,0.291528438071379,186.037906673786,11196.1770883863,4160.24109278658,"Duke_body_5000_tilt_1_sar: 6.25038393920258","Duke_brain_5000_tilt_1_sar: 5.54090623933774"
"41","tilt_2",700,1,6.3924608059721,82.7309878374325,7.8774084426321,0.457218101152385,172.146557645405,522.6151996784,239.118236057767,"Duke_body_700_tilt_2_sar: 6.3924608059721","Duke_brain_700_tilt_2_sar: 7.8774084426321"
